ID,Rooms,Area_sqm,Ceiling_Height,Price_per_month,Bathrooms,Metro_Numeric,Parking_Numeric
262355297,1,38.5,2.75,34000.0,1,45477.27272727273,48775.18175363862
273815149,1,46.0,2.8,38000.0,1,44617.63313609467,75542.34826762247
274259730,1,34.0,2.8,40000.0,1,44617.63313609467,49131.74122236671
272275267,1,44.0,2.8,40000.0,1,45477.27272727273,48775.18175363862
273151859,1,38.0,3.0,40000.0,1,45477.27272727273,49131.74122236671
274846125,2,55.4,2.71,44000.0,1,45477.27272727273,52201.68764172336
270525077,1,29.0,2.85,45000.0,1,45477.27272727273,48775.18175363862
262081183,2,57.0,2.64,47000.0,1,37202.38095238096,48775.18175363862
274460195,1,38.0,2.71,49000.0,1,45477.27272727273,52201.68764172336
274974124,2,44.0,2.71,54500.0,1,45477.27272727273,67966.08695652174
274055451,3,70.0,2.71,71000.0,2,48407.142857142855,52201.68764172336
269265022,3,84.0,2.71,90000.0,1,45477.27272727273,49131.74122236671
273593681,3,77.0,2.71,92000.0,1,45477.27272727273,52201.68764172336
274689762,3,96.0,2.7,100000.0,1,45477.27272727273,49131.74122236671
251618576,2,60.0,2.75,46000.0,1,45477.27272727273,75542.34826762247
240575765,2,65.0,2.74,45000.0,1,44617.63313609467,48775.18175363862
238230007,1,43.0,2.85,38000.0,1,45477.27272727273,48775.18175363862
273672956,2,26.0,2.71,23000.0,1,44617.63313609467,48775.18175363862
274667443,1,36.4,2.65,34000.0,1,48407.142857142855,48775.18175363862
256518254,1,38.0,2.74,35000.0,1,45477.27272727273,49131.74122236671
265357607,1,30.5,3.2,35000.0,1,44617.63313609467,49131.74122236671
245971204,1,38.5,2.64,35000.0,1,45477.27272727273,48775.18175363862
274344079,2,50.0,3.0,38000.0,1,44617.63313609467,49131.74122236671
274267929,2,52.0,2.74,42000.0,1,44617.63313609467,48775.18175363862
273318241,1,40.0,2.48,43000.0,1,45477.27272727273,49131.74122236671
273780889,2,56.0,2.75,45000.0,1,45477.27272727273,48775.18175363862
272536453,2,54.0,3.0,45000.0,1,45477.27272727273,48775.18175363862
268878838,2,64.0,2.65,49700.0,1,48407.142857142855,48775.18175363862
270572812,2,48.1,2.8,50000.0,1,45477.27272727273,49131.74122236671
269471423,5,124.0,2.65,100000.0,2,48407.142857142855,48775.18175363862
274741628,1,33.0,2.85,30000.0,1,45477.27272727273,48775.18175363862
274812555,1,37.7,2.74,32000.0,1,37202.38095238096,48775.18175363862
274939275,1,38.0,3.0,35000.0,1,45477.27272727273,48775.18175363862
274891201,1,40.0,2.75,35000.0,1,45477.27272727273,48775.18175363862
274792043,2,27.0,2.85,35000.0,1,45477.27272727273,48775.18175363862
274557406,2,27.7,2.85,35000.0,1,45477.27272727273,48775.18175363862
274537001,1,40.0,2.74,35500.0,1,37202.38095238096,48775.18175363862
274866930,1,41.0,2.85,39000.0,1,45477.27272727273,48775.18175363862
274917171,2,52.2,2.64,47000.0,1,44617.63313609467,48775.18175363862
274968027,2,40.0,2.6,45000.0,1,73523.72881355933,49131.74122236671
273781555,2,71.0,2.8,115000.0,1,73523.72881355933,49131.74122236671
270949943,3,74.0,3.0,120000.0,1,102571.28571428572,48775.18175363862
274968426,2,39.0,2.64,45000.0,1,73523.72881355933,48775.18175363862
